reaction_description（原文中对实验条件的简要描述，例：CT reduction in ultrapure water）,Chemical Reaction Equation（反应方程式例如CCl4 + e- →CCl3 + Cl-）,reaction_step（总反应/第1步/第2步）,reaction_type（还原 / 氧化 / 生物降解/还原+生物降解等）,reactant（反应物）,product（含产物生成比例）,reaction_order（1/0/2）,rate_constant,rate_constant_unit（min⁻¹ / h⁻¹ / L·m⁻²·h⁻¹）,half_life,half_life_unit（h / min / d）,activation_energy（活化能）,activation_energy_unit（kJ/mol）,temperature,temperature_unit（°C / K）,pH,pH_note（"buffered" / "initial"）,initial_concentration,initial_concentration_unit（mg/L / μM / mM）,mineral_type,mineral_surface_area,mineral_surface_area_unit（m²/g）,experiment_type（批次 / 柱实验 / 田间）,影响速率常数因素（pH/温度/反应物浓度/生成物浓度等）,影响速率常数因子n,oxygen_condition（氧气条件 好氧 / 厌氧 / 微好氧）,notes（其他备注，如"CF yield 28%" / "k1 and k2 from sequential fitting"）,参考文献,journal（文献发表所在期刊）
"1,2-DCA degradation by BOF slag-activated persulfate (80 g/L)",NA,总反应,还原,"1,2-DCA",VC,1,33.8,h⁻¹,NA,NA,NA,NA,25,°C,12.6,initial,0.5,mM,BOF slag,NA,NA,批次,pH,NA,NA,100% removal,"A kinetic and mechanistic study of the degradation of 1,2-dichloroethane and methyl tert-butyl ether using alkaline-activated persulfate oxidation",RSC Advances
"1,2-DCA degradation by BOF slag-activated persulfate (100 g/L)",NA,总反应,还原,"1,2-DCA",VC,1,34.8,h⁻¹,NA,NA,NA,NA,25,°C,12.6,initial,0.5,mM,BOF slag,NA,NA,批次,pH,NA,NA,100% removal,"A kinetic and mechanistic study of the degradation of 1,2-dichloroethane and methyl tert-butyl ether using alkaline-activated persulfate oxidation",RSC Advances
"1,2-Dichloroethane dechlorination","1,2-Dichloroethane + 2OH- → Ethylene glycol + 2Cl-",总反应,还原,"1,2-Dichloroethane",Ethylene glycol,NA,NA,NA,NA,NA,NA,NA,363.15,K,NA,NA,200,μg/g,NA,NA,NA,批次,NA,NA,NA,Removal rate: 88.27%; Reaction time: 3h,Dechlorination of Crude Oil by Phase Transfer Catalyst via Nucleophilic Substitution Reaction,China Petroleum Processing and Petrochemical Technology
"1,2-Dichlorobutane dechlorination","1,2-Dichlorobutane + 2OH- → 1,2-Butanediol + 2Cl-",总反应,还原,"1,2-Dichlorobutane","1,2-Butanediol",NA,NA,NA,NA,NA,NA,NA,363.15,K,NA,NA,200,μg/g,NA,NA,NA,批次,NA,NA,NA,Removal rate: 89.50%; Reaction time: 3h,Dechlorination of Crude Oil by Phase Transfer Catalyst via Nucleophilic Substitution Reaction,China Petroleum Processing and Petrochemical Technology
"1,1-DCA reduction on Zn0 in anoxic water","1,1-DCA → ethane (95%) + chloroethane (5%)",总反应,还原,"1,1-DCA",ethane (95%); chloroethane (5%),1,0.0037,L·m⁻²·h⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,750,μM,Zn0,zerovalent metal,0.035,批次,NA,NA,厌氧,α-elimination (95%) + hydrogenolysis (5%); kSA normalized to surface area,Potential for identifyng abiotic chloroalkane degradation mechanisms using carbon isotopic fractionation,Environ. Sci. Technol.
"1,2-DCA reduction on Zn0 in anoxic water","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,1,0.000028,L·m⁻²·h⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,150,μM,Zn0,zerovalent metal,0.035,批次,NA,NA,厌氧,β-elimination; kSA normalized to surface area; very slow reaction,Potential for identifyng abiotic chloroalkane degradation mechanisms using carbon isotopic fractionation,Environ. Sci. Technol.
5 g/L CMC-nZVI + 0.5% Pd + 44 mM dithionite,NA,total reaction,还原,"1,2-DCA",ethene (minor),1,4.4E-03,d⁻¹,NA,NA,NA,NA,room temperature,NA,7.4-7.8,buffered,106,μM,nZVI,NA,NA,批次,dithionite loading; CMC coating; Pd addition,NA,厌氧,Glovebox (95% Ar: 5% H2); pseudo-first-order kinetics,"Enhanced Dechlorination of 1,2-Dichloroethane by Coupled Nano Iron-Dithionite Treatment",Environ. Sci. Technol.
5 g/L CMC-nZVI + 0.5% Pd + incremental dithionite (22 mM × 2),NA,total reaction,还原,"1,2-DCA",ethene (minor),1,3.8E-03,d⁻¹,NA,NA,NA,NA,room temperature,NA,7.4-7.8,buffered,106,μM,nZVI,NA,NA,批次,dithionite loading,NA,厌氧,Restored reactivity after oxidation by dithionite addition,"Enhanced Dechlorination of 1,2-Dichloroethane by Coupled Nano Iron-Dithionite Treatment",Environ. Sci. Technol.
5 g/L CMC-nZVI + 0.5% Pd + 22 mM dithionite,NA,total reaction,还原,"1,2-DCA",ethene (minor),1,4.3E-03,d⁻¹,NA,NA,NA,NA,room temperature,NA,7.4-7.8,buffered,109,μM,nZVI,NA,NA,批次,dithionite loading,NA,厌氧,TCE completely degraded in 3 days when spiked at 140 days,"Enhanced Dechlorination of 1,2-Dichloroethane by Coupled Nano Iron-Dithionite Treatment",Environ. Sci. Technol.
5 g/L Bare-nZVI + 0.5% Pd + 22 mM dithionite (no CMC),NA,total reaction,还原,"1,2-DCA",ethene (minor),1,7.8E-03,d⁻¹,NA,NA,NA,NA,room temperature,NA,7.4-7.8,buffered,123,μM,nZVI,NA,NA,批次,CMC coating,NA,厌氧,Higher reactivity without CMC coating,"Enhanced Dechlorination of 1,2-Dichloroethane by Coupled Nano Iron-Dithionite Treatment",Environ. Sci. Technol.
5 g/L CMC-nZVI (no Pd) + 22 mM dithionite,NA,total reaction,还原,"1,2-DCA",ethene (minor),1,4.5E-03,d⁻¹,NA,NA,NA,NA,room temperature,NA,7.4-7.8,buffered,156,μM,nZVI,NA,NA,批次,Pd addition,NA,厌氧,Similar reactivity with or without Pd,"Enhanced Dechlorination of 1,2-Dichloroethane by Coupled Nano Iron-Dithionite Treatment",Environ. Sci. Technol.
22 mM dithionite only (no nZVI),NA,total reaction,还原,"1,2-DCA",NA,1,2.1E-03,d⁻¹,NA,NA,NA,NA,room temperature,NA,4-6.2,initial,142,μM,NA,NA,NA,批次,nZVI presence,NA,厌氧,Lower rate without nZVI; pH decreased sharply,"Enhanced Dechlorination of 1,2-Dichloroethane by Coupled Nano Iron-Dithionite Treatment",Environ. Sci. Technol.
5 g/L Fe3O4 + 22 mM dithionite,NA,total reaction,还原,"1,2-DCA",NA,1,6.2E-03,d⁻¹,NA,NA,NA,NA,room temperature,NA,NA,NA,149,μM,magnetite,NA,NA,批次,iron species type,NA,厌氧,Magnetite nanoparticles with dithionite,"Enhanced Dechlorination of 1,2-Dichloroethane by Coupled Nano Iron-Dithionite Treatment",Environ. Sci. Technol.
5 g/L FeS + 22 mM dithionite,NA,total reaction,还原,"1,2-DCA",NA,1,4.7E-03,d⁻¹,NA,NA,NA,NA,room temperature,NA,NA,NA,149,μM,iron sulfide,NA,NA,批次,iron species type,NA,厌氧,Iron sulfide nanoparticles with dithionite,"Enhanced Dechlorination of 1,2-Dichloroethane by Coupled Nano Iron-Dithionite Treatment",Environ. Sci. Technol.
5 g/L FeS only (no dithionite),NA,total reaction,还原,"1,2-DCA",NA,1,4.0E-04,d⁻¹,NA,NA,NA,NA,room temperature,NA,NA,NA,151,μM,iron sulfide,NA,NA,批次,dithionite presence,NA,厌氧,"FeS alone unable to dechlorinate 1,2-DCA","Enhanced Dechlorination of 1,2-Dichloroethane by Coupled Nano Iron-Dithionite Treatment",Environ. Sci. Technol.
2.5 g/L CMC-nZVI (no Pd) + 22 mM dithionite,NA,total reaction,还原,"1,2-DCA",NA,1,5.3E-03,d⁻¹,NA,NA,NA,NA,room temperature,NA,NA,NA,156,μM,nZVI,NA,NA,批次,nZVI loading,NA,厌氧,Lower nZVI concentration still effective,"Enhanced Dechlorination of 1,2-Dichloroethane by Coupled Nano Iron-Dithionite Treatment",Environ. Sci. Technol.
"Cometabolic 1,2-DCA degradation at 50 mg/L NH4-N",NA,总反应,还原+生物降解,"1,2-dichloroethane",NA,1,0.42,L·(g VSS)⁻¹·h⁻¹,NA,NA,NA,NA,25,°C,8-8.5,initial,1600-100000,µg/L,NA,NA,NA,批次,NH4-N浓度,NA,好氧,First-order rate constant at 50 mg/L NH4-N,"Cometabolic degradation and inhibition kinetics of 1,2-dichloroethane (1,2-DCA) in suspended-growth nitrifying systems",Environmental Technology
"Cometabolic 1,2-DCA degradation at 100 mg/L NH4-N",NA,总反应,还原+生物降解,"1,2-dichloroethane",NA,1,0.6,L·(g VSS)⁻¹·h⁻¹,NA,NA,NA,NA,25,°C,8-8.5,initial,1600-100000,µg/L,NA,NA,NA,批次,NH4-N浓度,NA,好氧,First-order rate constant at 100 mg/L NH4-N,"Cometabolic degradation and inhibition kinetics of 1,2-dichloroethane (1,2-DCA) in suspended-growth nitrifying systems",Environmental Technology
"Cometabolic 1,2-DCA degradation at 200 mg/L NH4-N",NA,总反应,还原+生物降解,"1,2-dichloroethane",NA,1,0.79,L·(g VSS)⁻¹·h⁻¹,NA,NA,NA,NA,25,°C,8-8.5,initial,1600-100000,µg/L,NA,NA,NA,批次,NH4-N浓度,NA,好氧,First-order rate constant at 200 mg/L NH4-N,"Cometabolic degradation and inhibition kinetics of 1,2-dichloroethane (1,2-DCA) in suspended-growth nitrifying systems",Environmental Technology
"Cometabolic 1,2-DCA degradation at 400 mg/L NH4-N",NA,总反应,还原+生物降解,"1,2-dichloroethane",NA,1,0.87,L·(g VSS)⁻¹·h⁻¹,NA,NA,NA,NA,25,°C,8-8.5,initial,1600-100000,µg/L,NA,NA,NA,批次,NH4-N浓度,NA,好氧,First-order rate constant at 400 mg/L NH4-N,"Cometabolic degradation and inhibition kinetics of 1,2-dichloroethane (1,2-DCA) in suspended-growth nitrifying systems",Environmental Technology
"C-nPdH catalyzed 1,2-DCA reduction","1,2-DCA + H2 → ethane + HCl",总反应,还原,"1,2-DCA",ethane (main product),1,0.94,d⁻¹,NA,NA,NA,NA,room temperature,°C,9.66,initial,32,mg/L,Pd nanoparticles,nanocatalyst,85,批次,NA,NA,厌氧,Complete removal in <7d; ksa=10.943×10⁻³ L·m⁻²·d⁻¹,"Aqueous-phase catalytic hydrodechlorination of 1,2-dichloroethane over palladium nanoparticles (nPd) with residual borohydride from nPd synthesis",Chemical Engineering Journal
"C-nNi catalyzed 1,2-DCA reduction","1,2-DCA + H2 → products",总反应,还原,"1,2-DCA",chloroethane; ethane,1,0.052,d⁻¹,NA,NA,NA,NA,room temperature,°C,9.25,initial,37,mg/L,Ni nanoparticles,nanocatalyst,60.1,批次,NA,NA,厌氧,35% degradation in 11d; ksa=0.865×10⁻³ L·m⁻²·d⁻¹,"Aqueous-phase catalytic hydrodechlorination of 1,2-dichloroethane over palladium nanoparticles (nPd) with residual borohydride from nPd synthesis",Chemical Engineering Journal
"B-nPdH catalyzed 1,2-DCA reduction","1,2-DCA + H2 → ethane + HCl",总反应,还原,"1,2-DCA",ethane (main product),1,0.713,d⁻¹,NA,NA,NA,NA,room temperature,°C,10.44,initial,32,mg/L,Pd nanoparticles,nanocatalyst,27.9,批次,NA,NA,厌氧,Complete removal in 10d; ksa=25.560×10⁻³ L·m⁻²·d⁻¹; Cl⁻ balance 93.7%,"Aqueous-phase catalytic hydrodechlorination of 1,2-dichloroethane over palladium nanoparticles (nPd) with residual borohydride from nPd synthesis",Chemical Engineering Journal
"C-nPdA catalyzed 1,2-DCA reduction","1,2-DCA + H2 → ethane + HCl",总反应,还原,"1,2-DCA",ethane (main product),1,1.702,d⁻¹,NA,NA,NA,NA,room temperature,°C,9.66,initial,33,mg/L,Pd nanoparticles,nanocatalyst,85.9,批次,NA,NA,厌氧,Complete removal in 3d; ksa=20.024×10⁻³ L·m⁻²·d⁻¹,"Aqueous-phase catalytic hydrodechlorination of 1,2-dichloroethane over palladium nanoparticles (nPd) with residual borohydride from nPd synthesis",Chemical Engineering Journal
"B-nPdA catalyzed 1,2-DCA reduction","1,2-DCA + H2 → ethane + HCl",总反应,还原,"1,2-DCA",ethane (main product),1,0.4,d⁻¹,NA,NA,NA,NA,room temperature,°C,NA,initial,40,mg/L,Pd nanoparticles,nanocatalyst,29.8,批次,NA,NA,厌氧,Complete removal in 10d; ksa=13.419×10⁻³ L·m⁻²·d⁻¹,"Aqueous-phase catalytic hydrodechlorination of 1,2-dichloroethane over palladium nanoparticles (nPd) with residual borohydride from nPd synthesis",Chemical Engineering Journal
"C-nPdH catalyzed 1,2-DCA reduction at low loading","1,2-DCA + H2 → products",总反应,还原,"1,2-DCA",ethane,1,0.044,d⁻¹,NA,NA,NA,NA,room temperature,°C,9.66,initial,10,mg/L,Pd nanoparticles,nanocatalyst,85,批次,catalyst loading,NA,厌氧,28% degradation in 7d; ksa=12.850×10⁻³ L·m⁻²·d⁻¹,"Aqueous-phase catalytic hydrodechlorination of 1,2-dichloroethane over palladium nanoparticles (nPd) with residual borohydride from nPd synthesis",Chemical Engineering Journal
"C-nPdH catalyzed 1,2-DCA reduction","1,2-DCA + H2 → ethane + HCl",总反应,还原,"1,2-DCA",ethane,1,0.106,d⁻¹,NA,NA,NA,NA,room temperature,°C,9.66,initial,8,mg/L,Pd nanoparticles,nanocatalyst,85,批次,catalyst loading,NA,厌氧,97% degradation in 32d; ksa=8.791×10⁻³ L·m⁻²·d⁻¹,"Aqueous-phase catalytic hydrodechlorination of 1,2-dichloroethane over palladium nanoparticles (nPd) with residual borohydride from nPd synthesis",Chemical Engineering Journal
"C-nPdH catalyzed 1,2-DCA reduction","1,2-DCA + H2 → ethane + HCl",总反应,还原,"1,2-DCA",ethane,1,0.266,d⁻¹,NA,NA,NA,NA,room temperature,°C,9.66,initial,8,mg/L,Pd nanoparticles,nanocatalyst,85,批次,catalyst loading,NA,厌氧,Complete removal in 19d; ksa=7.728×10⁻³ L·m⁻²·d⁻¹,"Aqueous-phase catalytic hydrodechlorination of 1,2-dichloroethane over palladium nanoparticles (nPd) with residual borohydride from nPd synthesis",Chemical Engineering Journal
"C-nPdH catalyzed 1,2-DCA reduction","1,2-DCA + H2 → ethane + HCl",总反应,还原,"1,2-DCA",ethane,1,0.887,d⁻¹,NA,NA,NA,NA,room temperature,°C,9.66,initial,8,mg/L,Pd nanoparticles,nanocatalyst,85,批次,catalyst loading,NA,厌氧,Complete removal in 7d; ksa=10.244×10⁻³ L·m⁻²·d⁻¹,"Aqueous-phase catalytic hydrodechlorination of 1,2-dichloroethane over palladium nanoparticles (nPd) with residual borohydride from nPd synthesis",Chemical Engineering Journal
"C-nPdH catalyzed high concentration 1,2-DCA","1,2-DCA + H2 → ethane + HCl",总反应,还原,"1,2-DCA",ethane,1,0.067,d⁻¹,NA,NA,NA,NA,room temperature,°C,9.66,initial,225,mg/L,Pd nanoparticles,nanocatalyst,85,批次,initial concentration,NA,厌氧,91% degradation in 55d; ksa=0.838×10⁻³ L·m⁻²·d⁻¹,"Aqueous-phase catalytic hydrodechlorination of 1,2-dichloroethane over palladium nanoparticles (nPd) with residual borohydride from nPd synthesis",Chemical Engineering Journal
B-nPdHW with fresh NaBH4,"1,2-DCA + H2 → products",总反应,还原,"1,2-DCA",ethane,1 then 0,0.42,d⁻¹,NA,NA,NA,NA,room temperature,°C,NA,initial,40,mg/L,Pd nanoparticles,nanocatalyst,28.4,批次,borohydride addition method,NA,厌氧,32% degradation in 7d; ksa=14.798×10⁻³ L·m⁻²·d⁻¹ for first 0.29d; kinetics changed to zero-order,"Aqueous-phase catalytic hydrodechlorination of 1,2-dichloroethane over palladium nanoparticles (nPd) with residual borohydride from nPd synthesis",Chemical Engineering Journal
B-nPdA with NaCl addition,"1,2-DCA + H2 → ethane + HCl",总反应,还原,"1,2-DCA",ethane,1,0.41,d⁻¹,NA,NA,NA,NA,room temperature,°C,NA,initial,40,mg/L,Pd nanoparticles,nanocatalyst,29.8,批次,chloride concentration,NA,厌氧,Complete removal in 10d; ksa=13.755×10⁻³ L·m⁻²·d⁻¹,"Aqueous-phase catalytic hydrodechlorination of 1,2-dichloroethane over palladium nanoparticles (nPd) with residual borohydride from nPd synthesis",Chemical Engineering Journal
"Mixed culture 1,2-DCA degradation with nitrate",C2H4Cl2 + 2NO3- → 2CO2 + 2H2O + N2 + 2Cl-,总反应,还原+生物降解,"1,2-dichloroethane","CO2 (87%), biomass (12%)",NA,500,μM/day,NA,NA,NA,NA,NA,NA,NA,7,NA,1500,mM,NA,NA,NA,批次,NA,水,表格直接提取,"Microbial oxidation of 1,2-dichloroethane under anoxic conditions with nitrate as electron acceptor in mixed and pure cultures",FEMS Microbiol Ecol
"Isolate Nit1 1,2-DCA degradation with nitrate",C2H4Cl2 + 5NO3- → 2CO2 + 2H+ + 2Cl- + 5NO2- + H2O,总反应,还原+生物降解,"1,2-dichloroethane","CO2 (92%), biomass (10%)",NA,1.97,μM/day,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,mM,NA,NA,NA,批次,NA,水,表格直接提取,"Microbial oxidation of 1,2-dichloroethane under anoxic conditions with nitrate as electron acceptor in mixed and pure cultures",FEMS Microbiol Ecol
"Isolate Nit2 1,2-DCA degradation with nitrate",NA,总反应,还原+生物降解,"1,2-dichloroethane",NA,NA,1.6,μM/day,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,mM,NA,NA,NA,批次,NA,水,表格直接提取,"Microbial oxidation of 1,2-dichloroethane under anoxic conditions with nitrate as electron acceptor in mixed and pure cultures",FEMS Microbiol Ecol
Mixed culture growth kinetics,NA,总反应,还原+生物降解,"1,2-dichloroethane",NA,NA,NA,NA,1.5,d,NA,NA,NA,NA,7,initial,NA,NA,NA,NA,NA,批次,NA,NA,厌氧,"Doubling time from Fig. 3; yield=13±0.1 g cells/mol 1,2-DCA","Microbial oxidation of 1,2-dichloroethane under anoxic conditions with nitrate as electron acceptor in mixed and pure cultures",FEMS Microbiol Ecol
"1,2-DCA biodegradation under O2-reducing conditions, replicate 1",NA,总反应,还原,"1,2-dichloroethane",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,μM,NA,NA,NA,批次,NA,NA,好氧,ε = -25.6 ± 1.1‰; KIE = 1.05; hydrolytic dehalogenation pathway,"Isotope analysis as a natural reaction probe to determine mechanisms of biodegradation of 1,2-dichloroethane",Environmental Microbiology
"1,2-DCA biodegradation under O2-reducing conditions, replicate 2",NA,总反应,还原,"1,2-dichloroethane",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,μM,NA,NA,NA,批次,NA,NA,好氧,ε = -26.1 ± 1.6‰; KIE = 1.05; hydrolytic dehalogenation pathway,"Isotope analysis as a natural reaction probe to determine mechanisms of biodegradation of 1,2-dichloroethane",Environmental Microbiology
"1,2-DCA biodegradation under O2-reducing conditions, replicate 3",NA,总反应,还原,"1,2-dichloroethane",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,μM,NA,NA,NA,批次,NA,NA,好氧,ε = -26.4 ± 2.4‰; KIE = 1.05; hydrolytic dehalogenation pathway,"Isotope analysis as a natural reaction probe to determine mechanisms of biodegradation of 1,2-dichloroethane",Environmental Microbiology
"1,2-DCA biodegradation under NO3-reducing conditions, replicate 1",NA,总反应,还原,"1,2-dichloroethane",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,μM,NA,NA,NA,批次,NA,NA,厌氧,ε = -26.4 ± 3.2‰; KIE = 1.05; hydrolytic dehalogenation pathway,"Isotope analysis as a natural reaction probe to determine mechanisms of biodegradation of 1,2-dichloroethane",Environmental Microbiology
"1,2-DCA biodegradation under NO3-reducing conditions, replicate 2",NA,总反应,还原,"1,2-dichloroethane",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,μM,NA,NA,NA,批次,NA,NA,厌氧,ε = -24.2 ± 5.3‰; KIE = 1.05; hydrolytic dehalogenation pathway,"Isotope analysis as a natural reaction probe to determine mechanisms of biodegradation of 1,2-dichloroethane",Environmental Microbiology
"1,2-DCA degradation in ASBR with sodium acetate and dextrose, HRT 48h","1,2-DCA → ethene + ethane",总反应,还原+生物降解,"1,2-dichloroethane",ethene (65-70%); ethane (<1%),NA,NA,NA,NA,NA,NA,NA,28±4,°C,7.25-7.95,initial,5-50,mg/L,NA,NA,NA,批次,反应物浓度,NA,厌氧,ASBR reactor; methanogenic sludge; COD removal >95%; biogas production 1.25-1.35 L/d; VFA <40 mg/L; VSS/SS ratio 0.45-0.5,"Reductive dechlorination of 1, 2-dichloroethane using anaerobic sequencing batch reactor (ASBR)",Water Science & Technology
"1,2-DCA cometabolic degradation in nitrifying biofilm reactor, Exp Set 1 Run 2","1,2-DCA + O2 → products + Cl-",总反应,还原+生物降解,"1,2-DCA",Cl- (partial mineralization),NA,33-48,mg/m².d,NA,NA,NA,NA,23-28,°C,7-8.5,initial,1539,μg/L,NA,NA,NA,批次,"NH4-N concentration; 1,2-DCA concentration",NA,好氧,"Surface loading 48 mg/m².d; HRT 17h; DO 2.5-4 mg/L; 90% 1,2-DCA removal; Cl- production 80% of stoichiometric","Biodegradation of 1,2-dichloroethane (1,2-DCA) by cometabolism in a nitrifying biofilm reactor",International Biodeterioration & Biodegradation
"1,2-DCA cometabolic degradation in nitrifying biofilm reactor, Exp Set 1 Run 4","1,2-DCA + O2 → products + Cl-",总反应,还原+生物降解,"1,2-DCA",Cl- (partial mineralization),NA,118-148,mg/m².d,NA,NA,NA,NA,23-28,°C,7-8.5,initial,4728,μg/L,NA,NA,NA,批次,"NH4-N concentration; 1,2-DCA concentration",NA,好氧,"Surface loading 148 mg/m².d; HRT 17h; DO 2.5-4 mg/L; 80% 1,2-DCA removal; Cl- production 58% of stoichiometric","Biodegradation of 1,2-dichloroethane (1,2-DCA) by cometabolism in a nitrifying biofilm reactor",International Biodeterioration & Biodegradation
"1,2-DCA cometabolic degradation in nitrifying biofilm reactor, Exp Set 1 Run 6","1,2-DCA + O2 → products + Cl-",总反应,还原+生物降解,"1,2-DCA",Cl- (partial mineralization),NA,177-253,mg/m².d,NA,NA,NA,NA,23-28,°C,7-8.5,initial,8087,μg/L,NA,NA,NA,批次,"NH4-N concentration; 1,2-DCA concentration",NA,好氧,"Surface loading 253 mg/m².d; HRT 17h; DO 2.5-4 mg/L; 70% 1,2-DCA removal; Cl- production 71% of stoichiometric; 40-50% NH4-N inhibition","Biodegradation of 1,2-dichloroethane (1,2-DCA) by cometabolism in a nitrifying biofilm reactor",International Biodeterioration & Biodegradation
