反应描述,脱氯步骤,反应类型,反应物,产物,速率常数,速率常数_单位,表面反应速率常数,表面反应速率常数_单位,反应级数,半衰期,半衰期_单位,活化能,活化能_单位,温度,温度_单位,pH,氧化还原电位,氧化还原电位_单位,固相矿物类型,矿物比表面积,矿物比表面积_单位,初始浓度,初始浓度_单位,矿物名称,矿物化学式,溶度积,溶度积_单位,沉淀速率常数,沉淀速率常数_单位,溶解速率常数,溶解速率常数_单位,离子活度积,离子活度积_单位,过饱和度,实验体系,其他条件,参考文献
"Arsenic adsorption on coarse sand from Yellow River sediment, concentration 10 kg/m³",总反应,吸附,As,NA,0.0496,min⁻¹,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,coarse sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: First-order kinetics fitting, Table 2; R²: 0.8374; 催化剂投加: 10; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: Median particle size 35.84 μm; qe=17.32 μg/g",Li et al. (2018)
"Arsenic adsorption on medium sand from Yellow River sediment, concentration 1 kg/m³",总反应,吸附,As,NA,0.0836,min⁻¹,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,medium sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: First-order kinetics fitting, Table 2; R²: 0.9198; 催化剂投加: 1; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: Median particle size 17.32 μm; qe=44.14 μg/g",Li et al. (2018)
"Arsenic adsorption on medium sand from Yellow River sediment, concentration 5 kg/m³",总反应,吸附,As,NA,0.0415,min⁻¹,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,medium sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: First-order kinetics fitting, Table 2; R²: 0.8481; 催化剂投加: 5; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: Median particle size 17.32 μm; qe=23.99 μg/g",Li et al. (2018)
"Arsenic adsorption on medium sand from Yellow River sediment, concentration 10 kg/m³",总反应,吸附,As,NA,0.0653,min⁻¹,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,medium sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: First-order kinetics fitting, Table 2; R²: 0.9902; 催化剂投加: 10; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: Median particle size 17.32 μm; qe=20.91 μg/g",Li et al. (2018)
"Arsenic adsorption on fine sand (silver sand) from Yellow River sediment, concentration 1 kg/m³",总反应,吸附,As,NA,0.061,min⁻¹,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,fine sand (silver sand),NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: First-order kinetics fitting, Table 2; R²: 0.9624; 催化剂投加: 1; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: Median particle size 10.02 μm; qe=52.64 μg/g",Li et al. (2018)
"Arsenic adsorption on fine sand (silver sand) from Yellow River sediment, concentration 5 kg/m³",总反应,吸附,As,NA,0.0514,min⁻¹,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,fine sand (silver sand),NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: First-order kinetics fitting, Table 2; R²: 0.9769; 催化剂投加: 5; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: Median particle size 10.02 μm; qe=44.97 μg/g",Li et al. (2018)
"Arsenic adsorption on fine sand (silver sand) from Yellow River sediment, concentration 10 kg/m³",总反应,吸附,As,NA,0.0835,min⁻¹,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,fine sand (silver sand),NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: First-order kinetics fitting, Table 2; R²: 0.9218; 催化剂投加: 10; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: Median particle size 10.02 μm; qe=38.17 μg/g",Li et al. (2018)
"Arsenic adsorption on coarse sand from Yellow River sediment, concentration 1 kg/m³",总反应,吸附,As,NA,0.0115,g/(μg·min),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,coarse sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Second-order kinetics fitting, Table 3; R²: 0.9949; 催化剂投加: 1; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: qe=19.87 μg/g",Li et al. (2018)
"Arsenic adsorption on coarse sand from Yellow River sediment, concentration 5 kg/m³",总反应,吸附,As,NA,0.0089,g/(μg·min),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,coarse sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Second-order kinetics fitting, Table 3; R²: 0.9941; 催化剂投加: 5; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: qe=18.95 μg/g",Li et al. (2018)
"Arsenic adsorption on coarse sand from Yellow River sediment, concentration 10 kg/m³",总反应,吸附,As,NA,0.0057,g/(μg·min),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,coarse sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Second-order kinetics fitting, Table 3; R²: 0.9909; 催化剂投加: 10; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: qe=18.60 μg/g",Li et al. (2018)
"Arsenic adsorption on medium sand from Yellow River sediment, concentration 1 kg/m³",总反应,吸附,As,NA,0.0007,g/(μg·min),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,medium sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Second-order kinetics fitting, Table 3; R²: 0.9662; 催化剂投加: 1; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: qe=55.83 μg/g",Li et al. (2018)
"Arsenic adsorption on medium sand from Yellow River sediment, concentration 5 kg/m³",总反应,吸附,As,NA,0.0032,g/(μg·min),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,medium sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Second-order kinetics fitting, Table 3; R²: 0.9958; 催化剂投加: 5; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: qe=26.67 μg/g",Li et al. (2018)
"Arsenic adsorption on medium sand from Yellow River sediment, concentration 10 kg/m³",总反应,吸附,As,NA,0.0033,g/(μg·min),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,medium sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Second-order kinetics fitting, Table 3; R²: 0.9897; 催化剂投加: 10; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: qe=23.81 μg/g",Li et al. (2018)
"Arsenic adsorption on fine sand (silver sand) from Yellow River sediment, concentration 1 kg/m³",总反应,吸附,As,NA,0.0019,g/(μg·min),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,fine sand (silver sand),NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Second-order kinetics fitting, Table 3; R²: 0.9985; 催化剂投加: 1; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: qe=57.27 μg/g",Li et al. (2018)
"Arsenic adsorption on fine sand (silver sand) from Yellow River sediment, concentration 5 kg/m³",总反应,吸附,As,NA,0.0009,g/(μg·min),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,fine sand (silver sand),NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Second-order kinetics fitting, Table 3; R²: 0.9886; 催化剂投加: 5; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: qe=54.29 μg/g",Li et al. (2018)
"Arsenic adsorption on fine sand (silver sand) from Yellow River sediment, concentration 10 kg/m³",总反应,吸附,As,NA,0.0012,g/(μg·min),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,fine sand (silver sand),NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Second-order kinetics fitting, Table 3; R²: 0.9834; 催化剂投加: 10; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: qe=45.50 μg/g",Li et al. (2018)
"Arsenic adsorption on coarse sand from Yellow River sediment, concentration 1 kg/m³",总反应,吸附,As,NA,1.4582,μg/(g·min^0.5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coarse sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Intraparticle diffusion model, Table 4; R²: 0.7345; 催化剂投加: 1; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: c=7.09; controlled by intraparticle diffusion, liquid film diffusion, and surface adsorption",Li et al. (2018)
"Arsenic adsorption on coarse sand from Yellow River sediment, concentration 5 kg/m³",总反应,吸附,As,NA,1.1109,μg/(g·min^0.5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coarse sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Intraparticle diffusion model, Table 4; R²: 0.6914; 催化剂投加: 5; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: c=7.67; controlled by intraparticle diffusion, liquid film diffusion, and surface adsorption",Li et al. (2018)
"Arsenic adsorption on coarse sand from Yellow River sediment, concentration 10 kg/m³",总反应,吸附,As,NA,1.2489,μg/(g·min^0.5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coarse sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Intraparticle diffusion model, Table 4; R²: 0.7491; 催化剂投加: 10; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: c=5.37; controlled by intraparticle diffusion, liquid film diffusion, and surface adsorption",Li et al. (2018)
"Arsenic adsorption on medium sand from Yellow River sediment, concentration 1 kg/m³",总反应,吸附,As,NA,4.3428,μg/(g·min^0.5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,medium sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Intraparticle diffusion model, Table 4; R²: 0.8351; 催化剂投加: 1; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: c=3.91; controlled by intraparticle diffusion, liquid film diffusion, and surface adsorption",Li et al. (2018)
"Arsenic adsorption on medium sand from Yellow River sediment, concentration 5 kg/m³",总反应,吸附,As,NA,1.8254,μg/(g·min^0.5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,medium sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Intraparticle diffusion model, Table 4; R²: 0.7755; 催化剂投加: 5; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: c=7.31; controlled by intraparticle diffusion, liquid film diffusion, and surface adsorption",Li et al. (2018)
"Arsenic adsorption on medium sand from Yellow River sediment, concentration 10 kg/m³",总反应,吸附,As,NA,1.6953,μg/(g·min^0.5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,medium sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Intraparticle diffusion model, Table 4; R²: 0.713; 催化剂投加: 10; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: c=5.89; controlled by intraparticle diffusion, liquid film diffusion, and surface adsorption",Li et al. (2018)
"Arsenic adsorption on fine sand (silver sand) from Yellow River sediment, concentration 1 kg/m³",总反应,吸附,As,NA,3.43,μg/(g·min^0.5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fine sand (silver sand),NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Intraparticle diffusion model, Table 4; R²: 0.8258; 催化剂投加: 1; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: c=21.18; controlled by intraparticle diffusion, liquid film diffusion, and surface adsorption",Li et al. (2018)
"Arsenic adsorption on fine sand (silver sand) from Yellow River sediment, concentration 5 kg/m³",总反应,吸附,As,NA,4.0575,μg/(g·min^0.5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fine sand (silver sand),NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Intraparticle diffusion model, Table 4; R²: 0.9138; 催化剂投加: 5; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: c=6.22; controlled by intraparticle diffusion, liquid film diffusion, and surface adsorption",Li et al. (2018)
"Arsenic adsorption on fine sand (silver sand) from Yellow River sediment, concentration 10 kg/m³",总反应,吸附,As,NA,3.4324,μg/(g·min^0.5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fine sand (silver sand),NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Intraparticle diffusion model, Table 4; R²: 0.8108; 催化剂投加: 10; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: c=6.95; controlled by intraparticle diffusion, liquid film diffusion, and surface adsorption",Li et al. (2018)
