reaction_description（原文中对实验条件的简要描述，例：CT reduction in ultrapure water）,Chemical Reaction Equation（反应方程式例如CCl4 + e- →CCl3 + Cl-）,reaction_step（总反应/第1步/第2步）,reaction_type（还原 / 氧化 / 生物降解/还原+生物降解等）,reactant（反应物）,product（含产物生成比例）,reaction_order（1/0/2）,rate_constant,rate_constant_unit（min⁻¹ / h⁻¹ / L·m⁻²·h⁻¹）,half_life,half_life_unit（h / min / d）,activation_energy（活化能）,activation_energy_unit（kJ/mol）,temperature,temperature_unit（°C / K）,pH,pH_note（"buffered" / "initial"）,initial_concentration,initial_concentration_unit（mg/L / μM / mM）,mineral_type,mineral_surface_area,mineral_surface_area_unit（m²/g）,experiment_type（批次 / 柱实验 / 田间）,影响速率常数因素（pH/温度/反应物浓度/生成物浓度等）,影响速率常数因子n,oxygen_condition（氧气条件 好氧 / 厌氧 / 微好氧）,notes（其他备注，如"CF yield 28%" / "k1 and k2 from sequential fitting"）,参考文献,journal（文献发表所在期刊）
CCl4 reduction by GR(Cl) at pH 7.2,CCl4 → CHCl3 + Cl-,第1步,还原,CCl4,CHCl3 (65.5%),1,0.0808,h⁻¹,NA,NA,NA,NA,25,°C,7.2,buffered,20,µM,GR(Cl),NA,NA,批次,NA,NA,厌氧,kobs=(2.24±0.13)×10⁻⁵ s⁻¹; Fe(II)/Fe(III)=3.2,Enhanced dechlorination of chlorinated methanes and ethenes by chloride green rust in the presence of copper(II),Environ. Sci. Technol.
CCl4 reduction by GR(Cl) with 0.5 mM Cu(II) at pH 7.2,CCl4 → products,总反应,还原,CCl4,"CHCl3 (max 13 µM, then degraded); nonchlorinated products",1,6.779,h⁻¹,NA,NA,NA,NA,25,°C,7.2,buffered,20,µM,GR(Cl),NA,NA,批次,Cu(II)浓度,NA,厌氧,kobs=(1.88±0.18)×10⁻³ s⁻¹; 84 times faster than without Cu(II); complete removal in 35 min,,Environ. Sci. Technol.
CHCl3 reduction by GR(Cl) with 0.5 mM Cu(II) at pH 7.2,CHCl3 → products,第2步,还原,CHCl3,nonchlorinated products,1,0.471,h⁻¹,NA,NA,NA,NA,25,°C,7.2,buffered,13,µM,GR(Cl),NA,NA,批次,NA,NA,厌氧,Complete degradation within 9 h,,Environ. Sci. Technol.
CCl4 reduction by GR(Cl) at pH 7.2,CCl4 → CHCl3,第1步,还原,CCl4,CHCl3 (max 13.5 µM),1,0.0808,h⁻¹,NA,NA,NA,NA,25,°C,7.2,buffered,20,µM,GR(Cl),NA,NA,批次,NA,NA,厌氧,Fe(II)/Fe(III) ratio = 3.2; 80% removal in 20 h,,Environ. Sci. Technol.
CCl4 reduction by GR(Cl) with 0.5 mM Cu(II) at pH 7.2,CCl4 → CHCl3 → products,总反应,还原,CCl4,"CHCl3 (max 13 µM, complete degradation in 10 h); CH4; C2H4; C2H6",1,6.779,h⁻¹,NA,NA,NA,NA,25,°C,7.2,buffered,20,µM,GR(Cl),NA,NA,批次,Cu(II)浓度,NA,厌氧,Complete CCl4 removal in 35 min; kobs 84 times higher than without Cu(II),,Environ. Sci. Technol.
CHCl3 reduction by GR(Cl) with 0.5 mM Cu(II) at pH 7.2,CHCl3 → products,第2步,还原,CHCl3,nonchlorinated products,1,0.471,h⁻¹,NA,NA,NA,NA,25,°C,7.2,buffered,13,µM,GR(Cl),NA,NA,批次,NA,NA,厌氧,Complete CHCl3 degradation in 9 h,,Environ. Sci. Technol.
"CCl4 degradation by 0.2 wt.% Ag/Fe, Stage I",CCl4 + e- → CHCl3 + Cl-,第1步,还原,CCl4,CHCl3 (47.9% at 15 min),1,0.0214,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag loading,NA,NA,Slow reaction stage (0-10 min),Rapid Degradation of Carbon Tetrachloride by Microscale Ag/Fe Bimetallic Particles,Int. J. Environ. Res. Public Health
"CCl4 degradation by 0.2 wt.% Ag/Fe, Stage II",CCl4 + e- → CHCl3 + Cl-,第2步,还原,CCl4,CHCl3,1,0.1193,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag loading,NA,NA,"Accelerated reaction stage (10-40 min), 2.29-5.57 fold faster than Stage I",,Int. J. Environ. Res. Public Health
"CCl4 degradation by 0.4 wt.% Ag/Fe, Stage I",CCl4 + e- → CHCl3 + Cl-,第1步,还原,CCl4,CHCl3 (70.0% at 15 min),1,0.0454,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag loading,NA,NA,"Slow reaction stage, optimal Ag loading",,Int. J. Environ. Res. Public Health
"CCl4 degradation by 0.4 wt.% Ag/Fe, Stage II",CCl4 + e- → CHCl3 + Cl-,第2步,还原,CCl4,CHCl3 (36.5% max at 20 min),1,0.1269,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag loading,NA,NA,"Accelerated reaction stage, CF yield 36.5%",,Int. J. Environ. Res. Public Health
"CCl4 degradation by 0.6 wt.% Ag/Fe, Stage I",CCl4 + e- → CHCl3 + Cl-,第1步,还原,CCl4,CHCl3 (68.9% at 15 min),1,0.0501,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag loading,NA,NA,Slow reaction stage,,Int. J. Environ. Res. Public Health
"CCl4 degradation by 0.6 wt.% Ag/Fe, Stage II",CCl4 + e- → CHCl3 + Cl-,第2步,还原,CCl4,CHCl3,1,0.1151,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag loading,NA,NA,Accelerated reaction stage,,Int. J. Environ. Res. Public Health
"CCl4 degradation by 0.8 wt.% Ag/Fe, Stage I",CCl4 + e- → CHCl3 + Cl-,第1步,还原,CCl4,CHCl3 (58.2% at 15 min),1,0.0435,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag loading,NA,NA,Slow reaction stage,,Int. J. Environ. Res. Public Health
"CCl4 degradation by 0.8 wt.% Ag/Fe, Stage II",CCl4 + e- → CHCl3 + Cl-,第2步,还原,CCl4,CHCl3,1,0.1141,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag loading,NA,NA,Accelerated reaction stage,,Int. J. Environ. Res. Public Health
"CCl4 degradation by 1.0 wt.% Ag/Fe, Stage I",CCl4 + e- → CHCl3 + Cl-,第1步,还原,CCl4,CHCl3 (50.9% at 15 min),1,0.0338,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag loading,NA,NA,Slow reaction stage,,Int. J. Environ. Res. Public Health
"CCl4 degradation by 1.0 wt.% Ag/Fe, Stage II",CCl4 + e- → CHCl3 + Cl-,第2步,还原,CCl4,CHCl3,1,0.1106,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag loading,NA,NA,Accelerated reaction stage,,Int. J. Environ. Res. Public Health
"CCl4 degradation at 5 g/L Ag/Fe dosage, Stage I",CCl4 + e- → CHCl3 + Cl-,第1步,还原,CCl4,CHCl3,1,0.0109,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag/Fe dosage,NA,NA,"Slow reaction stage, 28.6% removal at 20 min",,Int. J. Environ. Res. Public Health
"CCl4 degradation at 5 g/L Ag/Fe dosage, Stage II",CCl4 + e- → CHCl3 + Cl-,第2步,还原,CCl4,CHCl3,1,0.0767,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag/Fe dosage,NA,NA,Accelerated reaction stage,,Int. J. Environ. Res. Public Health
"CCl4 degradation at 10 g/L Ag/Fe dosage, Stage I",CCl4 + e- → CHCl3 + Cl-,第1步,还原,CCl4,CHCl3,1,0.0207,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag/Fe dosage,NA,NA,"Slow reaction stage, 44.8% removal at 20 min",,Int. J. Environ. Res. Public Health
"CCl4 degradation at 10 g/L Ag/Fe dosage, Stage II",CCl4 + e- → CHCl3 + Cl-,第2步,还原,CCl4,CHCl3,1,0.0988,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag/Fe dosage,NA,NA,Accelerated reaction stage,,Int. J. Environ. Res. Public Health
"CCl4 degradation at 20 g/L Ag/Fe dosage, Stage I",CCl4 + e- → CHCl3 + Cl-,第1步,还原,CCl4,CHCl3,1,0.0345,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag/Fe dosage,NA,NA,"Slow reaction stage, 74.0% removal at 20 min",,Int. J. Environ. Res. Public Health
"CCl4 degradation at 20 g/L Ag/Fe dosage, Stage II",CCl4 + e- → CHCl3 + Cl-,第2步,还原,CCl4,CHCl3,1,0.1238,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag/Fe dosage,NA,NA,Accelerated reaction stage,,Int. J. Environ. Res. Public Health
"CCl4 degradation at 30 g/L Ag/Fe dosage, Stage I",CCl4 + e- → CHCl3 + Cl-,第1步,还原,CCl4,CHCl3,1,0.0656,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag/Fe dosage,NA,NA,"Slow reaction stage, 86.4% removal at 20 min",,Int. J. Environ. Res. Public Health
"CCl4 degradation at 30 g/L Ag/Fe dosage, Stage II",CCl4 + e- → CHCl3 + Cl-,第2步,还原,CCl4,CHCl3,1,0.1443,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag/Fe dosage,NA,NA,Accelerated reaction stage,,Int. J. Environ. Res. Public Health
"CCl4 degradation at 40 g/L Ag/Fe dosage, Stage I",CCl4 + e- → CHCl3 + Cl-,第1步,还原,CCl4,CHCl3,1,0.09,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag/Fe dosage,NA,NA,"Slow reaction stage, 91.3% removal at 20 min",,Int. J. Environ. Res. Public Health
"CCl4 degradation at 40 g/L Ag/Fe dosage, Stage II",CCl4 + e- → CHCl3 + Cl-,第2步,还原,CCl4,CHCl3,1,0.1556,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,Ag/Fe dosage,NA,NA,Accelerated reaction stage,,Int. J. Environ. Res. Public Health
CCl4 degradation at pH 4,CCl4 + e- → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,NA,NA,NA,NA,NA,NA,25,°C,4,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,pH,NA,NA,90.1% removal at 40 min,,Int. J. Environ. Res. Public Health
CCl4 degradation at pH 5,CCl4 + e- → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,NA,NA,NA,NA,NA,NA,25,°C,5,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,pH,NA,NA,94.2% removal at 40 min,,Int. J. Environ. Res. Public Health
CCl4 degradation at pH 6,CCl4 + e- → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,NA,NA,NA,NA,NA,NA,25,°C,6,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,pH,NA,NA,"99.2% removal at 40 min, optimal pH",,Int. J. Environ. Res. Public Health
CCl4 degradation at pH 7,CCl4 + e- → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,NA,NA,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,pH,NA,NA,97.9% removal at 40 min,,Int. J. Environ. Res. Public Health
CCl4 degradation at pH 8,CCl4 + e- → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,NA,NA,NA,NA,NA,NA,25,°C,8,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,pH,NA,NA,73.4% removal at 40 min,,Int. J. Environ. Res. Public Health
CCl4 degradation at pH 9,CCl4 + e- → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,NA,NA,NA,NA,NA,NA,25,°C,9,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,pH,NA,NA,26.3% removal at 40 min,,Int. J. Environ. Res. Public Health
CCl4 degradation with 0 mg/L humic acid,CCl4 + e- → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,0.122,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,humic acid concentration,NA,NA,Control without humic acid,,Int. J. Environ. Res. Public Health
